Batch ID,Date,Product Name,Dosage Form,Test Parameter,Test Outcome,Analyst,Lab Section,Date Reviewed,Status
QC-101,2024-01-09,Ibuprofen 400mg,Tablet,Uniformity of Weight,Pass,Deepak R,Physical Lab,2024-01-11,Reviewed
QC-102,2024-01-10,Amoxicillin 250mg,Capsule,Moisture Content,Pass,Sneha V,Chemical Lab,2024-01-12,Reviewed
QC-103,2024-01-12,Azithromycin 500mg,Tablet,Hardness,Pass,Rahul M,Physical Lab,2024-01-12,Reviewed
QC-104,2024-01-14,Omeprazole 20mg,Capsule,Assay,Fail,Sneha V,Chemical Lab,2024-01-16,Reviewed
QC-105,2024-01-16,Amoxicillin 250mg,Capsule,Uniformity of Weight,Fail,Priya S,Physical Lab,2024-01-17,Reviewed
QC-106,2024-01-17,Paracetamol 500mg,Tablet,Disintegration,Pass,Priya S,Dissolution Lab,2024-01-19,Reviewed
QC-107,2024-01-20,Amoxicillin 250mg,Capsule,Moisture Content,Fail,Priya S,Chemical Lab,2024-01-22,Reviewed
QC-108,2024-01-21,Ibuprofen 400mg,Tablet,pH,OOS,Rahul M,Chemical Lab,2024-01-26,Reviewed
QC-109,2024-01-21,Paracetamol 500mg,Tablet,Microbial Limit,Pass,Priya S,Microbiology Lab,2024-01-23,Reviewed
QC-110,2024-01-22,Atorvastatin 10mg,Tablet,Dissolution,Pass,Sneha V,Dissolution Lab,2024-01-22,Reviewed
QC-111,2024-01-23,Amoxicillin 250mg,Capsule,Microbial Limit,Pass,Sneha V,Microbiology Lab,2024-01-24,Reviewed
QC-112,2024-01-26,Paracetamol 500mg,Tablet,Dissolution,Pass,Rahul M,Dissolution Lab,2024-01-27,Reviewed
QC-113,2024-01-26,Ibuprofen 400mg,Tablet,Hardness,Fail,Deepak R,Physical Lab,2024-01-29,Reviewed
QC-114,2024-01-27,Azithromycin 500mg,Tablet,Disintegration,OOS,Anita K,Dissolution Lab,2024-01-29,Reviewed
QC-115,2024-01-27,Amoxicillin 250mg,Capsule,Uniformity of Weight,Fail,Deepak R,Physical Lab,2024-01-30,Reviewed
QC-116,2024-01-30,Ibuprofen 400mg,Tablet,Moisture Content,Pass,Sneha V,Chemical Lab,2024-01-31,Reviewed
QC-117,2024-01-30,Omeprazole 20mg,Capsule,Assay,Fail,Rahul M,Chemical Lab,2024-02-01,Reviewed
QC-118,2024-01-30,Omeprazole 20mg,Capsule,Disintegration,Pass,Deepak R,Dissolution Lab,2024-02-01,Reviewed
QC-119,2024-02-01,Amoxicillin 250mg,Capsule,Hardness,Fail,Anita K,Physical Lab,2024-02-03,Reviewed
QC-120,2024-02-01,Cetirizine 10mg,Tablet,Hardness,Fail,Anita K,Physical Lab,2024-02-02,Reviewed
QC-121,2024-02-04,Atorvastatin 10mg,Tablet,Hardness,Pass,Sneha V,Physical Lab,2024-02-06,Reviewed
QC-122,2024-02-05,Atorvastatin 10mg,Tablet,Moisture Content,Pass,Deepak R,Chemical Lab,2024-02-06,Reviewed
QC-123,2024-02-07,Amoxicillin 250mg,Capsule,Dissolution,OOS,Deepak R,Dissolution Lab,2024-02-09,Reviewed
QC-124,2024-02-07,Ibuprofen 400mg,Tablet,pH,OOS,Deepak R,Chemical Lab,2024-02-12,Reviewed
QC-125,2024-02-07,Omeprazole 20mg,Capsule,Hardness,Pass,Deepak R,Physical Lab,2024-02-08,Reviewed
QC-126,2024-02-11,Ibuprofen 400mg,Tablet,Disintegration,Pass,Priya S,Dissolution Lab,2024-02-12,Reviewed
QC-127,2024-02-11,Ibuprofen 400mg,Tablet,Hardness,Pass,Deepak R,Physical Lab,2024-02-11,Reviewed
QC-128,2024-02-13,Atorvastatin 10mg,Tablet,Uniformity of Weight,Pass,Sneha V,Physical Lab,2024-02-14,Reviewed
QC-129,2024-02-17,Azithromycin 500mg,Tablet,Uniformity of Weight,Pass,Anita K,Physical Lab,2024-02-18,Reviewed
QC-130,2024-02-22,Metformin 500mg,Tablet,Assay,Pass,Rahul M,Chemical Lab,2024-02-23,Reviewed
QC-131,2024-02-26,Atorvastatin 10mg,Tablet,Uniformity of Weight,Pass,Rahul M,Physical Lab,2024-02-27,Reviewed
QC-132,2024-02-26,Omeprazole 20mg,Capsule,Assay,Pass,Deepak R,Chemical Lab,2024-02-26,Reviewed
QC-133,2024-02-26,Cetirizine 10mg,Tablet,Hardness,Pass,Priya S,Physical Lab,2024-02-27,Reviewed
QC-134,2024-03-10,Omeprazole 20mg,Capsule,Hardness,Pass,Deepak R,Physical Lab,2024-03-11,Reviewed
QC-135,2024-03-14,Paracetamol 500mg,Tablet,Hardness,Pass,Anita K,Physical Lab,2024-03-15,Reviewed
